book_type,message_type,count,p50_ns,p99_ns,p999_ns
OrderBook,A,355894368,167,750,1209
OrderBook,E,17168472,208,1042,1459
OrderBook,C,299751,84,958,1375
OrderBook,X,8363028,83,750,1125
OrderBook,D,343082991,167,1000,1458
OrderBook,U,64917201,375,1417,2041
LadderBook,A,355894368,42,542,791
LadderBook,E,17168472,42,542,833
LadderBook,C,299751,42,459,708
LadderBook,X,8363028,42,375,583
LadderBook,D,343082991,42,500,1041
LadderBook,U,64917201,125,708,1542
